what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.ui.net,1.2.100.I20100505-1245,"org.eclipse.ui.net",1288117918452
started,bundle,org.eclipse.ui.views,3.5.0.I20100527-0800,"org.eclipse.ui.views",1288117918453
started,bundle,org.eclipse.ui.views.log,1.0.100.v20100423,"org.eclipse.ui.views.log",1288117918453
started,bundle,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"org.eclipse.ui.workbench",1288117918454
started,bundle,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.workbench.texteditor",1288117918470
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1288117918471
started,bundle,org.eclipse.update.core,3.2.402.R36x_v20100629,"org.eclipse.update.core",1288117918493
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1288117918494
started,bundle,org.eclipse.wst.common.project.facet.core,1.4.102.v201008170019,"org.eclipse.wst.common.project.facet.core",1288117918494
started,bundle,org.eclipse.wst.web,1.1.401.v201007151900,"org.eclipse.wst.web",1288117918495
os,sysinfo,,,"win32",1288117918498
arch,sysinfo,,,"x86",1288117918498
ws,sysinfo,,,"win32",1288117918498
locale,sysinfo,,,"en_GB",1288117918498
processors,sysinfo,,,"2",1288117918499
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1288117918499
java.runtime.version,sysinfo,,,"1.6.0_22-b04",1288117918499
java.specification.name,sysinfo,,,"Java Platform API Specification",1288117918499
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1288117918499
java.specification.version,sysinfo,,,"1.6",1288117918499
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1288117918499
java.version,sysinfo,,,"1.6.0_22",1288117918499
java.vm.info,sysinfo,,,"mixed mode, sharing",1288117918499
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1288117918499
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1288117918499
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1288117918499
java.vm.specification.version,sysinfo,,,"1.0",1288117918499
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1288117918499
java.vm.version,sysinfo,,,"17.1-b03",1288117918499
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1288117965796
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1288118012711
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1288118013159
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1288118123679
started,bundle,org.eclipse.debug.ui,3.6.1.v20100901_r361,"org.eclipse.debug.ui",1288118125587
started,bundle,org.eclipse.wst.server.core,1.1.204.v20100908,"org.eclipse.wst.server.core",1288118125828
started,bundle,org.eclipse.wst.server.ui,1.1.205.v20100908,"org.eclipse.wst.server.ui",1288118125869
started,bundle,org.eclipse.wst.common.frameworks,1.2.0.v201003040800,"org.eclipse.wst.common.frameworks",1288118125984
started,bundle,org.eclipse.wst.common.emf,1.2.1.v201008260500,"org.eclipse.wst.common.emf",1288118126017
started,bundle,org.eclipse.jem.util,2.1.2.v201008120100,"org.eclipse.jem.util",1288118126030
started,bundle,org.eclipse.wst.common.emfworkbench.integration,1.2.2.v201008242000,"org.eclipse.wst.common.emfworkbench.integration",1288118126039
started,bundle,org.eclipse.wst.common.core,1.2.0.v200908252030,"org.eclipse.wst.common.core",1288118126089
started,bundle,org.eclipse.wst.common.modulecore,1.2.3.v201008242000,"org.eclipse.wst.common.modulecore",1288118126098
started,bundle,org.eclipse.jst.j2ee.core,1.2.2.v201008120100,"org.eclipse.jst.j2ee.core",1288118126144
started,bundle,org.eclipse.jem,2.0.400.v201005110200,"org.eclipse.jem",1288118126190
started,bundle,org.eclipse.wst.common.frameworks.ui,1.2.0.v201004080500,"org.eclipse.wst.common.frameworks.ui",1288118126236
started,bundle,org.eclipse.wst.xml.core,1.1.502.v201009010342,"org.eclipse.wst.xml.core",1288118126259
started,bundle,org.eclipse.wst.validation,1.2.200.v201005271900,"org.eclipse.wst.validation",1288118126267
started,bundle,org.eclipse.jst.j2ee,1.1.402.v201009151730,"org.eclipse.jst.j2ee",1288118126340
started,bundle,org.eclipse.jst.server.core,1.2.101.v20100421,"org.eclipse.jst.server.core",1288118126410
started,bundle,org.eclipse.jst.jee,1.0.301.v201007151900,"org.eclipse.jst.jee",1288118126468
started,bundle,org.eclipse.jdt.debug,3.6.1.v20100715_r361,"org.eclipse.jdt.debug",1288118126627
started,bundle,org.eclipse.jdt.debug.ui,3.5.0.v20100602-0830,"org.eclipse.jdt.debug.ui",1288118127230
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1288118132102
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1288118138953
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1288118141084
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1288118153402
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1288118193743
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1288118287194
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1288118307325
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1288118319389
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1288118321472
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1288118354841
activated,view,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.PackageExplorer",1288118354893
started,bundle,org.eclipse.wst.xsl.debug.ui,1.0.100.v201004290328,"org.eclipse.wst.xsl.debug.ui",1288118355808
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1288118370882
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1288118433876
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1288118438710
started,bundle,org.eclipse.wst.jsdt.debug.ui,1.0.1.v201008170101,"org.eclipse.wst.jsdt.debug.ui",1288118453218
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1288118453742
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1288118457157
executed,command,org.eclipse.debug.ui,3.6.1.v20100901_r361,"org.eclipse.debug.ui.commands.DebugLast",1288118457202
opened,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1288118459624
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1288118459717
executed,command,org.eclipse.debug.ui,3.6.1.v20100901_r361,"org.eclipse.debug.ui.commands.DebugLast",1288118466234
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1288118467228
